0,1,2,3,4,
1,Tube Diameters,,Tube Gauges,,
2,mm,Inch,Min,Max,
3,6.35,0.25,18,27,
4,9.53,0.375,14,24,
5,12.7,0.5,13,24,
6,15.88,0.625,12,24,
7,19.05,0.75,10,24,
8,25.4,1,8,24,
9,31.75,1.25,8,24,
10,38.1,1.5,8,24,
11,50.8,2,4,24,
12,Gauge,BWG,mm,,
13,4,0.238,6.05,,
14,5,0.22,5.59,,
15,6,0.203,5.16,,
16,7,0.18,4.57,,
17,8,0.165,4.19,,
18,9,0.148,3.76,,
19,10,0.134,3.4,,
20,11,0.12,3.05,,
21,12,0.109,2.77,,
22,13,0.095,2.41,,
23,14,0.083,2.11,,
24,15,0.072,1.83,,
25,16,0.065,1.65,,
26,17,0.058,1.47,,
27,18,0.049,1.24,,
28,19,0.042,1.07,,
29,20,0.035,0.89,,
30,21,0.032,0.81,,
31,22,0.028,0.71,,
32,23,0.025,0.64,,
33,24,0.022,0.56,,
34,25,0.02,0.51,,
35,26,0.018,0.46,,
36,27,0.016,0.41,,
37,"Standard Shell Sizes, Inside Diameter",,,,
38,203,255,,,
39,255,305,,,
40,305,337,,,
41,337,387,,,
42,387,438,,,
43,438,489,,,
44,489,540,,,
45,540,591,,,
46,591,635,,,
47,635,686,,,
48,686,737,,,
49,737,787,,,
50,787,838,,,
51,838,889,,,
52,889,940,,,
53,940,991,,,
54,991,1067,,,
55,1067,1143,,,
56,1143,1219,,,
57,1219,1372,,,
58,1372,1524,,,
59,1524,1676,,,
60,1676,1829,,,
61,1829,1981,,,
62,1981,2134,,,
63,2134,2286,,,
64,2286,2438,,,
65,2438,2743,,,
66,2743,3048,,,
67,3048,3353,,,
