Layout,Reynolds_max,Reynolds_min,a_{1},a_{2},a_{3},a_{4},b_{1},b_{2},b_{3},b_{4}
30,100000,10000,0.321,-0.388,1.45,0.519,0.372,-0.123,7,0.5
30,10000,1000,0.321,-0.388,1.45,0.519,0.486,-0.152,7,0.5
30,1000,100,0.593,-0.477,1.45,0.519,4.57,-0.476,7,0.5
30,100,10,1.36,-0.657,1.45,0.519,45.1,-0.973,7,0.5
30,10,0,1.4,-0.667,1.45,0.519,48,-1,7,0.5
45,100000,10000,0.37,-0.396,1.93,0.5,0.303,-0.126,6.59,0.52
45,10000,1000,0.37,-0.396,1.93,0.5,0.333,-0.136,6.59,0.52
45,1000,100,0.73,-0.5,1.93,0.5,3.5,-0.476,6.59,0.52
45,100,10,0.498,-0.656,1.93,0.5,26.2,-0.913,6.59,0.52
45,10,0,1.55,-0.667,1.93,0.5,32,-1,6.59,0.52
90,100000,10000,0.37,-0.395,1.187,0.37,0.391,-0.148,6.3,0.378
90,10000,1000,0.107,-0.266,1.187,0.37,0.0815,0.022,6.3,0.378
90,1000,100,0.408,-0.46,1.187,0.37,6.09,-0.602,6.3,0.378
90,100,10,0.9,-0.631,1.187,0.37,32.1,-0.963,6.3,0.378
90,10,0,0.97,-0.667,1.187,0.37,35,-1,6.3,0.378
